"Full_key","Key","Time","Survival","Time_hours","Time_std","Survival_corrected","Standardized_Survival","Host_taxa","Pathogen_taxa","Max_num_host","Data"
"2DRM7FWM.csv","2DRM7FWM",1.82,100,43.68,0,100,1,"Mice","Gram-negative bacteria","5","raw"
"2DRM7FWM.csv","2DRM7FWM",2.87,73,68.88,0.200764818355641,73,0.73,"Mice","Gram-negative bacteria","5","raw"
"2DRM7FWM.csv","2DRM7FWM",3.9,72,93.6,0.397705544933078,72,0.72,"Mice","Gram-negative bacteria","5","raw"
"2DRM7FWM.csv","2DRM7FWM",4.91,39,117.84,0.590822179732314,39,0.39,"Mice","Gram-negative bacteria","5","raw"
"2DRM7FWM.csv","2DRM7FWM",5.95,17,142.8,0.789674952198853,17,0.17,"Mice","Gram-negative bacteria","5","raw"
"2DRM7FWM.csv","2DRM7FWM",7.05,0,169.2,1,0,0,"Mice","Gram-negative bacteria","5","raw"
"2DVV3DN4_1.csv","2DVV3DN4",0,100,0,0,100,1,"Mice","DNA virus","15","probability"
"2DVV3DN4_1.csv","2DVV3DN4",4.90857083420013,74,117.805700020803,0.489873667382932,74,0.723404255319149,"Mice","DNA virus","15","probability"
"2DVV3DN4_1.csv","2DVV3DN4",5.93207821926357,47,142.369877262326,0.592019349547922,47,0.436170212765957,"Mice","DNA virus","15","probability"
"2DVV3DN4_1.csv","2DVV3DN4",7.02267526523819,34,168.544206365717,0.700860556610923,34,0.297872340425532,"Mice","DNA virus","15","probability"
"2DVV3DN4_1.csv","2DVV3DN4",8.07270646973164,6,193.744955273559,0.805653306758847,6,0,"Mice","DNA virus","15","probability"
"2DVV3DN4_1.csv","2DVV3DN4",10.0200748907843,6,240.481797378823,1,6,0,"Mice","DNA virus","15","probability"
"2DVV3DN4_2.csv","2DVV3DN4",0,100,0,0,100,1,"Mice","DNA virus","15","probability"
"2DVV3DN4_2.csv","2DVV3DN4",4.94351986686083,94,118.64447680466,0.494660699417152,94,0.936170212765957,"Mice","DNA virus","15","probability"
